Country,Region,SDGi,Life_Exectancy,HDI,GDP,Income_Group,Population,Cropland,Grazing,Forest_Product,Carbon,Fish,Built_up_land,Total
United Arab Emirates,Middle East/Central Asia,68.8,79,0.91,67026,HI,10.1,0.8,0.6,0.6,6.5,0.3,0,8.7
United Kingdom,Other Europe,80.6,81,0.93,47366,HI,68.5,0.7,0.2,0.4,2.1,0.1,0.1,3.6
United States of America,North America,74.6,76,0.92,65118,HI,334.8,1.3,0.3,0.8,4.8,0.1,0.1,7.5
Uruguay,South America,,75,0.81,22837,UM,3.5,0.3,0.6,0.4,0.7,0,0.1,2.2
Uzbekistan,Middle East/Central Asia,69.9,71,0.73,,LM,34.4,0.5,0.2,0.1,1.2,0,0.1,2.1
Vanuatu,Asia-Pacific,0,70,0.61,2442,LM,0.3,,,,,,,1.8
"Venezuela, Bolivarian Republic of",South America,60.3,71,0.69,,UM,29.3,0.3,0.6,0.1,0.9,0.1,0,2.1
Viet Nam,Asia-Pacific,72.8,74,0.7,11032,LM,99,0.5,0,0.4,1.3,0.1,0.1,2.4
Yemen,Middle East/Central Asia,52.1,64,0.46,1780,LM,31.2,0.3,0.1,0,0.2,0.1,0,0.6
Zambia,Africa,,,,,LM,19.5,0.3,0.1,0.5,0.2,0,0.1,1.2
Zimbabwe,Africa,,,,,LI,15.3,0.3,0.3,0.3,0.3,0,0,1.1
